ID,l_O2-3727,O2-3727,e_O2-3727,f_O2-3727,l_Ne3-3869,Ne3-3869,e_Ne3-3869,f_Ne3-3869,l_Ne3-3967,Ne3-3967,e_Ne3-3967,f_Ne3-3967,l_Hd,Hd,e_Hd,f_Hd,Hg,e_Hg,f_Hg,l_O3-4363,O3-4363,e_O3-4363,f_O3-4363,Hb,e_Hb,f_Hb,O3-4959,e_O3-4959,f_O3-4959,O3-5007,e_O3-5007,f_O3-5007,Ha,e_Ha,f_Ha,l_S2-6717,S2-6717,e_S2-6717,f_S2-6717,l_S2-6731,S2-6731,e_S2-6731,f_S2-6731,newrat
Keck06,<,0.09,,,,0.19,0.03,,<,0.27,,,,0.23,0.04,,1.37,0.08,,,0.177,0.031,d,1.1,0.02,d,1.48,0.02,,4.1,0.02,,,,,,,,,,,,,2.11111111111
Keck07,,1.17,0.04,,,0.4,0.02,,<,0.07,,,,0.23,0.02,,0.52,0.02,d,,0.088,0.009,,3.27,0.05,,2.13,0.02,d,6.91,0.03,,,,,,,,,,,,,0.34188034188
Keck08,,1.17,0.02,,,0.4,0.01,,,0.24,0.02,,,0.27,0.02,,0.4,0.01,,,0.115,0.014,,5.63,0.13,,1.72,0.03,,4.3,0.02,,,,,,,,,,,,,0.34188034188
Keck09,,1.53,0.06,,,0.78,0.04,,,0.51,0.06,d,,0.39,0.04,,0.46,0.02,,,0.076,0.016,,1.46,0.04,,2.26,0.05,,9.33,0.07,,,,,,,,,,,,,0.509803921569
Keck11,,1.23,0.04,,,0.47,0.03,,,0.35,0.03,,,0.28,0.02,,0.47,0.02,d,<,0.12,,b,4.62,0.05,,1.73,0.01,,5.05,0.01,d,,,,,,,,,,,,0.382113821138
Keck12,,0.54,0.08,,,0.43,0.06,,,0.27,0.04,,<,0.0,,,0.5,0.06,,,0.164,0.028,,0.53,0.03,d,1.43,0.04,,3.83,0.04,,,,,,,,,,,,,0.796296296296
Keck13,,0.26,0.06,,,0.42,0.04,,,0.22,0.05,,,0.42,0.04,,0.44,0.03,,,0.169,0.027,,0.72,0.02,,1.42,0.03,,4.64,0.03,,,,,,,,,,,,,1.61538461538
Keck14,,2.2,0.01,,,0.36,0.01,,,0.22,0.01,,,0.26,0.01,,0.43,0.01,,,0.066,0.014,,11.59,0.1,,1.64,0.01,,5.09,0.01,f,,,,,,,,,,,,0.163636363636
Keck15,,1.89,0.02,,,0.41,0.02,d,,0.1,0.01,,,0.17,0.01,,0.41,0.02,d,,0.072,0.016,,5.22,0.09,,1.91,0.02,,5.25,0.02,,,,,,,,,,,,,0.216931216931
Keck16,,2.34,0.02,,,0.17,0.02,d,<,0.04,,,,0.19,0.01,,0.36,0.01,,,0.047,0.013,d,8.83,0.13,,0.54,0.01,,1.71,0.01,,,,,,,,,,,,,0.0726495726496
Keck18,,2.36,0.04,b,,0.39,0.04,b,,0.15,0.03,,,0.27,0.02,,0.42,0.02,,,0.058,0.018,,4.97,0.06,d,1.49,0.01,,4.31,0.01,,,,,,,,,,,,,0.165254237288
Keck19,,1.64,0.02,,,0.45,0.01,,,0.29,0.02,,,0.23,0.01,,0.49,0.01,d,,0.055,0.009,d,7.88,0.08,d,1.71,0.01,,4.84,0.01,d,,,,,,,,,,,,0.274390243902
Keck20,,1.67,0.15,b,<,0.5,,b,,,,,<,0.32,,b,0.34,0.08,,,0.253,0.083,,1.82,0.1,,1.31,0.05,,4.17,0.06,,2.86,0.03,,,0.11,0.03,,<,0.07,,,0.299401197605
Keck21,,1.65,0.03,,,0.35,0.02,,,,,,,0.23,0.02,,0.47,0.02,,,0.094,0.02,,2.15,0.05,,2.17,0.03,,4.49,0.04,d,,,,,,,,,,,,0.212121212121
Keck23,,0.55,0.04,,,0.58,0.03,,,0.39,0.04,,,0.29,0.03,,0.55,0.02,,,0.151,0.022,,2.04,0.05,,1.69,0.02,d,5.57,0.02,,,,,,,,,,,,,1.05454545455
Keck24,,2.2,0.01,b,,0.17,0.01,b,,,,,,0.18,0.01,b,0.38,0.01,b,,0.038,0.008,b,24.02,0.13,,0.72,,,1.96,,,3.33,0.01,,,0.38,0.01,,,0.26,0.01,,0.0772727272727
Keck26,,3.06,0.06,b,,0.73,0.07,b,,,,,,0.25,0.04,,0.44,0.03,,,0.101,0.033,,4.78,0.15,,1.35,0.03,,3.58,0.03,d,,,,,,,,,,,,0.238562091503
Keck27,,0.86,0.01,"d,b",,0.08,0.01,,,0.02,,,,0.11,,,0.3,0.01,,,0.049,0.005,,78.73,0.38,d,1.13,0.01,,3.14,0.01,,,,,,,,,,,,,0.093023255814
Keck28,,0.85,0.02,,,0.32,0.01,d,,0.22,0.01,,,0.18,0.01,,0.37,0.01,,,0.076,0.008,,9.23,0.08,,1.84,0.01,,5.46,0.01,,,,,,,,,,,,,0.376470588235
Keck29,,1.34,0.21,g,,0.41,0.05,,,0.24,0.07,,,0.26,0.04,,0.38,0.03,,,0.084,0.025,,1.85,0.06,,2.06,0.03,,6.24,0.03,,,,,,,,,,,,,0.305970149254
Keck30,,2.58,0.03,b,,0.42,0.02,b,,,,,,0.23,0.02,b,0.56,0.02,,,0.047,0.011,,9.28,0.11,,1.56,0.01,,4.12,0.01,,3.1,0.03,,,0.14,0.02,,,0.15,0.02,,0.162790697674
Keck31,,1.28,0.02,,,0.46,0.01,,,0.25,0.02,,,0.23,0.01,,0.47,0.01,d,,0.11,0.01,,4.65,0.05,,1.78,0.01,,4.47,0.01,d,,,,,,,,,,,,0.359375
Keck32,,1.84,0.1,b,,0.37,0.11,b,,,,,,0.25,0.08,,0.55,0.08,,,0.285,0.078,,1.82,0.09,,1.76,0.04,,4.89,0.03,,2.96,0.05,,<,0.13,,,,,,,0.201086956522
Keck33,,1.56,0.07,,,0.49,0.04,,,0.4,0.05,,,0.37,0.02,,0.59,0.02,,,0.138,0.018,,5.24,0.07,d,1.4,0.01,,3.95,0.01,,,,,,,,,,,,,0.314102564103
