#Combined spectrum created by combine_nIR_spectra.pro, knotE_N3.specfrom list
#Wavelengths were already in vacuum heliocentric
#Units are erg/s/cmsq/A, determined by xtellcor_general
wave  flam  noise
12026.0000  -1.260e-18  9.267e-18
12028.4000  -5.218e-18  9.924e-18
12030.8000  1.557e-17  9.463e-18
12033.2000  1.856e-17  8.511e-18
12035.6000  1.330e-17  6.206e-18
12038.0000  1.188e-17  3.690e-18
12040.5000  6.902e-18  2.822e-18
12042.9000  5.968e-18  2.790e-18
12045.3000  4.640e-19  2.868e-18
12047.7000  8.471e-18  3.362e-18
12050.1000  5.103e-18  4.371e-18
12052.5000  2.051e-17  5.288e-18
12054.9000  4.918e-18  5.487e-18
12057.3000  2.228e-18  5.443e-18
12059.8000  4.270e-18  4.489e-18
12062.2000  4.933e-18  3.288e-18
12064.6000  4.885e-18  2.588e-18
12067.0000  3.092e-18  2.479e-18
12069.4000  2.666e-18  2.453e-18
12071.8000  5.920e-18  2.447e-18
12074.2000  2.914e-18  2.489e-18
12076.7000  4.021e-18  2.443e-18
12079.1000  8.245e-18  2.667e-18
12081.5000  2.353e-18  2.586e-18
12083.9000  1.730e-18  2.453e-18
12086.3000  8.249e-19  2.437e-18
12088.7000  1.810e-18  2.466e-18
12091.2000  1.006e-17  2.377e-18
12093.6000  6.904e-18  2.456e-18
12096.0000  9.010e-18  2.485e-18
12098.4000  1.977e-18  2.524e-18
12100.8000  1.410e-18  2.470e-18
12103.3000  -1.238e-18  2.330e-18
12105.7000  6.660e-18  2.360e-18
12108.1000  4.499e-18  2.390e-18
12110.5000  1.138e-18  2.735e-18
12113.0000  1.058e-18  4.300e-18
12115.4000  -2.387e-18  8.173e-18
12117.8000  -2.537e-17  1.264e-17
12120.2000  8.368e-18  1.532e-17
12122.7000  3.142e-18  1.467e-17
12125.1000  6.239e-18  1.328e-17
12127.5000  1.652e-17  9.773e-18
12129.9000  3.798e-18  7.713e-18
12132.4000  2.027e-17  8.027e-18
12134.8000  1.130e-17  8.660e-18
12137.2000  5.644e-18  8.276e-18
12139.7000  9.298e-18  6.751e-18
12142.1000  7.328e-18  4.537e-18
12144.5000  4.000e-19  3.519e-18
12146.9000  9.767e-18  3.845e-18
12149.4000  2.136e-18  4.298e-18
12151.8000  -2.491e-19  4.883e-18
12154.2000  1.203e-17  5.009e-18
12156.7000  1.322e-17  4.607e-18
12159.1000  8.041e-18  3.965e-18
12161.5000  2.223e-18  2.996e-18
12164.0000  4.996e-18  2.419e-18
12166.4000  9.603e-19  2.377e-18
12168.8000  -2.197e-19  2.451e-18
12171.3000  8.996e-18  2.501e-18
12173.7000  7.945e-18  2.924e-18
12176.2000  6.101e-18  3.083e-18
12178.6000  -2.092e-19  3.211e-18
12181.0000  2.374e-18  3.160e-18
12183.5000  2.114e-18  2.802e-18
12185.9000  7.330e-18  2.681e-18
12188.3000  -4.125e-18  3.430e-18
12190.8000  5.107e-18  4.659e-18
12193.2000  3.247e-18  6.091e-18
12195.7000  2.893e-18  6.061e-18
12198.1000  5.063e-20  5.743e-18
12200.5000  8.283e-18  4.759e-18
12203.0000  7.125e-18  2.948e-18
12205.4000  -3.253e-18  2.489e-18
12207.9000  -4.035e-18  2.358e-18
12210.3000  7.166e-19  2.475e-18
12212.8000  -7.937e-19  2.351e-18
12215.2000  8.460e-18  2.340e-18
12217.6000  8.863e-18  2.555e-18
12220.1000  4.600e-19  3.782e-18
12222.5000  8.078e-18  6.993e-18
12225.0000  -3.353e-18  9.832e-18
12227.4000  -9.497e-20  1.176e-17
12229.9000  1.677e-17  1.122e-17
12232.3000  8.585e-18  1.002e-17
12234.8000  9.883e-18  6.030e-18
12237.2000  1.688e-18  3.104e-18
12239.7000  4.733e-18  2.485e-18
12242.1000  2.180e-18  2.583e-18
12244.6000  7.307e-18  2.559e-18
12247.0000  6.558e-18  2.874e-18
12249.5000  4.538e-18  3.671e-18
12251.9000  6.773e-18  5.490e-18
12254.4000  5.288e-18  6.534e-18
12256.8000  7.347e-18  7.187e-18
12259.3000  8.977e-18  6.301e-18
12261.7000  4.467e-18  5.276e-18
12264.2000  6.036e-18  2.997e-18
12266.6000  1.335e-18  2.236e-18
12269.1000  -2.148e-18  2.119e-18
12271.6000  1.533e-18  2.048e-18
12274.0000  6.028e-18  2.231e-18
12276.5000  -2.859e-18  2.781e-18
12278.9000  1.545e-18  5.266e-18
12281.4000  1.510e-17  8.425e-18
12283.8000  3.604e-17  1.197e-17
12286.3000  -1.196e-17  1.234e-17
12288.8000  -1.053e-17  1.115e-17
12291.2000  -1.943e-18  8.707e-18
12293.7000  -3.699e-18  4.200e-18
12296.1000  4.602e-19  2.716e-18
12298.6000  3.849e-18  2.442e-18
12301.1000  1.482e-18  2.363e-18
12303.5000  2.709e-18  2.473e-18
12306.0000  -4.902e-18  2.410e-18
12308.4000  5.568e-18  2.599e-18
12310.9000  4.643e-18  2.581e-18
12313.4000  -2.343e-18  2.490e-18
12315.8000  3.504e-18  2.769e-18
12318.3000  -4.996e-18  3.681e-18
12320.8000  1.000e-17  5.003e-18
12323.2000  1.501e-17  6.297e-18
12325.7000  2.697e-18  6.185e-18
12328.2000  9.263e-18  5.500e-18
12330.6000  -2.066e-19  4.395e-18
12333.1000  9.722e-19  2.643e-18
12335.6000  5.627e-18  2.048e-18
12338.0000  6.002e-18  2.131e-18
12340.5000  7.275e-18  2.427e-18
12343.0000  9.554e-18  3.913e-18
12345.4000  2.260e-18  6.979e-18
12347.9000  7.958e-19  9.352e-18
12350.4000  -3.727e-18  1.028e-17
12352.9000  1.180e-17  9.423e-18
12355.3000  -1.783e-17  7.972e-18
12357.8000  6.796e-19  4.406e-18
12360.3000  6.216e-18  2.649e-18
12362.8000  2.642e-18  2.312e-18
12365.2000  1.129e-18  2.372e-18
12367.7000  3.747e-18  2.245e-18
12370.2000  2.591e-18  2.161e-18
12372.7000  5.088e-18  2.131e-18
12375.1000  7.606e-18  2.215e-18
12377.6000  2.748e-18  2.144e-18
12380.1000  2.351e-18  2.007e-18
12382.6000  3.281e-18  1.967e-18
12385.0000  8.290e-18  2.136e-18
12387.5000  2.964e-18  2.262e-18
12390.0000  7.687e-18  2.554e-18
12392.5000  -6.856e-18  3.100e-18
12395.0000  -8.705e-18  4.013e-18
12397.4000  5.896e-18  4.955e-18
12399.9000  -1.215e-18  5.046e-18
12402.4000  1.570e-17  4.696e-18
12404.9000  3.354e-18  3.973e-18
12407.4000  3.616e-18  2.608e-18
12409.8000  6.202e-18  2.162e-18
12412.3000  1.458e-18  2.272e-18
12414.8000  1.078e-17  3.412e-18
12417.3000  7.022e-18  5.048e-18
12419.8000  3.674e-19  6.966e-18
12422.3000  -7.389e-18  7.314e-18
12424.8000  8.522e-18  7.020e-18
12427.2000  8.647e-18  5.871e-18
12429.7000  9.455e-18  3.565e-18
12432.2000  1.584e-18  2.363e-18
12434.7000  1.328e-18  2.093e-18
12437.2000  4.601e-18  2.056e-18
12439.7000  4.222e-18  2.057e-18
12442.2000  8.271e-18  2.116e-18
12444.7000  3.227e-18  2.259e-18
12447.2000  2.253e-18  2.270e-18
12449.6000  -3.724e-19  2.454e-18
12452.1000  -4.584e-19  2.401e-18
12454.6000  -9.564e-19  2.350e-18
12457.1000  9.490e-19  2.349e-18
12459.6000  -1.299e-18  2.297e-18
12462.1000  9.837e-18  2.260e-18
12464.6000  1.831e-18  2.236e-18
12467.1000  4.343e-18  2.315e-18
12469.6000  -1.124e-18  2.452e-18
12472.1000  4.836e-18  2.577e-18
12474.6000  4.084e-19  3.120e-18
12477.1000  -8.387e-19  3.728e-18
12479.6000  -7.384e-18  4.371e-18
12482.1000  1.292e-18  4.280e-18
12484.6000  4.832e-18  4.102e-18
12487.1000  7.601e-18  3.530e-18
12489.6000  9.555e-18  2.917e-18
12492.1000  -1.016e-18  3.004e-18
12494.6000  3.873e-18  3.573e-18
12497.1000  -2.810e-19  4.536e-18
12499.6000  4.394e-18  5.091e-18
12502.1000  6.571e-18  5.213e-18
